filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
DJI_0392.JPG,4913375,"{}",178,0,"{""name"":""point"",""cx"":326,""cy"":246}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,1,"{""name"":""point"",""cx"":763,""cy"":33}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,2,"{""name"":""point"",""cx"":145,""cy"":593}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,3,"{""name"":""point"",""cx"":347,""cy"":686}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,4,"{""name"":""point"",""cx"":716,""cy"":424}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,5,"{""name"":""point"",""cx"":900,""cy"":512}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,6,"{""name"":""point"",""cx"":1067,""cy"":598}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,7,"{""name"":""point"",""cx"":1279,""cy"":295}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,8,"{""name"":""point"",""cx"":1443,""cy"":378}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,9,"{""name"":""point"",""cx"":1538,""cy"":440}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,10,"{""name"":""point"",""cx"":969,""cy"":135}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,11,"{""name"":""point"",""cx"":917,""cy"":124}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,12,"{""name"":""point"",""cx"":1815,""cy"":113}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,13,"{""name"":""point"",""cx"":1971,""cy"":211}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,14,"{""name"":""point"",""cx"":2091,""cy"":277}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,15,"{""name"":""point"",""cx"":2243,""cy"":359}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,16,"{""name"":""point"",""cx"":2396,""cy"":423}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,17,"{""name"":""point"",""cx"":2468,""cy"":455}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,18,"{""name"":""point"",""cx"":2539,""cy"":493}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,19,"{""name"":""point"",""cx"":2668,""cy"":590}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,20,"{""name"":""point"",""cx"":2804,""cy"":637}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,21,"{""name"":""point"",""cx"":2953,""cy"":715}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,22,"{""name"":""point"",""cx"":3177,""cy"":451}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,23,"{""name"":""point"",""cx"":3037,""cy"":414}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,24,"{""name"":""point"",""cx"":2873,""cy"":326}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,25,"{""name"":""point"",""cx"":2757,""cy"":269}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,26,"{""name"":""point"",""cx"":2635,""cy"":202}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,27,"{""name"":""point"",""cx"":2347,""cy"":48}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,28,"{""name"":""point"",""cx"":3112,""cy"":37}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,29,"{""name"":""point"",""cx"":3214,""cy"":56}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,30,"{""name"":""point"",""cx"":3391,""cy"":164}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,31,"{""name"":""point"",""cx"":3446,""cy"":206}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,32,"{""name"":""point"",""cx"":3577,""cy"":254}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,33,"{""name"":""point"",""cx"":3334,""cy"":552}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,34,"{""name"":""point"",""cx"":3472,""cy"":608}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,35,"{""name"":""point"",""cx"":3624,""cy"":685}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,36,"{""name"":""point"",""cx"":3772,""cy"":784}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,37,"{""name"":""point"",""cx"":3959,""cy"":859}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,38,"{""name"":""point"",""cx"":3929,""cy"":846}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,39,"{""name"":""point"",""cx"":3794,""cy"":766}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,40,"{""name"":""point"",""cx"":3952,""cy"":483}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,41,"{""name"":""point"",""cx"":3802,""cy"":385}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,42,"{""name"":""point"",""cx"":3714,""cy"":321}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,43,"{""name"":""point"",""cx"":3885,""cy"":73}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,44,"{""name"":""point"",""cx"":3819,""cy"":53}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,45,"{""name"":""point"",""cx"":1650,""cy"":35}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,46,"{""name"":""point"",""cx"":114,""cy"":153}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,47,"{""name"":""point"",""cx"":561,""cy"":786}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,48,"{""name"":""point"",""cx"":755,""cy"":865}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,49,"{""name"":""point"",""cx"":909,""cy"":943}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,50,"{""name"":""point"",""cx"":1087,""cy"":1031}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,51,"{""name"":""point"",""cx"":1386,""cy"":1162}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,52,"{""name"":""point"",""cx"":1548,""cy"":1289}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,53,"{""name"":""point"",""cx"":1693,""cy"":1321}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,54,"{""name"":""point"",""cx"":1840,""cy"":1391}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,55,"{""name"":""point"",""cx"":2010,""cy"":1475}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,56,"{""name"":""point"",""cx"":2141,""cy"":1540}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,57,"{""name"":""point"",""cx"":2306,""cy"":1600}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,58,"{""name"":""point"",""cx"":2458,""cy"":1658}","{""Planta"":""Corn""}"
DJI_0392.JPG,4913375,"{}",178,59,"{""name"":""point"",""cx"":2841,""cy"":1857}","{""Planta"":""Corn""}"
